OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,IVF_Rate,Unstimulated_Rate,Gest_Rate,ICSI_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDTwinLBRate1,FshNDTwinLBRate2,FshNDTwinLBRate3,FshNDTwinLBRate4,FshNDTwinLBRate5,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankLTCycles1,TotBankLTCycles2,TotBankLTCycles3,TotBankLTCycles4,TotBankLTCycles5,FshDnrEggTotCycles,ThwDnrEggTotCycles,ThwDnrEmbTotCycles,DonatedEmbCycles,FshDnrEggTransfers,ThwDnrEggTransfers,ThwDnrEmbTransfers,DonatedEmbTransfers,FshDnrEggRate,ThwDnrEggRate,ThwDnrEmbRate,DonatedEmbRate,FshDnrEggImplant,ThwDnrEggImplant,ThwDnrEmbImplant,DonatedEmbImplant,FshDnrEggTransPregRate,ThwDnrEggTransPregRate,ThwDnrEmbTransPregRate,DonatedEmbTransPregRate,FshDnrEggLvBirths_TransRate,ThwDnrEggLvBirths_TransRate,ThwDnrEmbLvBirths_TransRate,DonatedEmbLvBirths_TransRate,FshDnrEggSnglLB_TransRate,ThwDnrEggSnglLB_TransRate,ThwDnrEmbSnglLB_TransRate,DonatedEmbSnglLB_TransRate,FshDnrEggTwinLvBirths_TransRate,ThwDnrEggTwinLvBirths_TransRate,ThwDnrEmbTwinLvBirths_TransRate,DonatedEmbTwinLvBirths_TransRate,FshDnrEggHealthSnglLB_TransRate,ThwDnrEggSngLB_TransRate,ThwDnrEmbSngLB_TransRate,DonatedEmbSngLB_TransRate,ReorgOrClosedMessage,CurrClinNameAll,DonorEgg,DonorEmbryo,EmbryoCryo,EggCryo,SingleWomen,Surrogates,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
52,USC FERTILITY,,LOS ANGELES,CALIFORNIA,783,7,"Richard J. Paulson, MD",100%,<1%,3%,62%,10%,6%,11%,61%,8%,6%,43%,20%,7%,14%,38%,68,85,84,53,44,0.0,4.7,6.0,0.0,4.5,51,68,70,48,35,1.8,2.3,2.7,3.3,2.9,15.6,3.3,3.1,2.2,3.2,42.6,35.3,39.3,26.4,9.1,36.8,28.2,26.2,17.0,2.3,27.9,21.2,23.8,13.2,2.3,8.8,7.1,2.4,3.8,0.0,25.0,20.0,15.5,7.5,2.3,37.4,26.6,19.0,9.0,2.1,56.9,44.1,47.1,29.2,11.4,49.0,35.3,31.4,18.8,2.9,37.3,26.5,28.6,14.6,2.9,11.8,8.8,2.9,4.2,0.0,33.3,25.0,18.6,8.3,2.9,49,29,25,11,19,48,29,25,10,19,0.6,0.3,0.3,0.3,0.8,1.7,1.6,2.1,1.8,2.0,38.8,34.1,30.4,2 / 18,17.1,56.3,51.7,64.0,2 / 10,6 / 19,50.0,31.0,36.0,2 / 10,4 / 19,39.6,31.0,32.0,2 / 10,3 / 19,10.4,0.0,4.0,0 / 10,1 / 19,31.3,31.0,32.0,1 / 10,2 / 19,65,71,63,33,18,63,63,56,28,13,24,14,21,0,17,14,21,0,1.6,1.9,1.6,,61.5,23.8,52.9,,12 / 17,7 / 14,66.7,,7 / 17,3 / 14,57.1,,4 / 17,2 / 14,42.9,,2 / 17,1 / 14,14.3,,3 / 17,1 / 14,38.1,,,USC Fertility,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
53,INNOVATIVE FERTILITY CENTER,,MANHATTAN BEACH,CALIFORNIA,133,0,"Mark J. Rispler, MD",100%,0%,2%,98%,9%,0%,0%,11%,0%,0%,15%,57%,28%,11%,0%,0,1,0,0,0,,0 / 1,,,,0,1,0,0,0,,1.0,,,,,1 / 1,,,,,1 / 1,,,,,1 / 1,,,,,1 / 1,,,,,0 / 1,,,,,0 / 1,,,,,1 / 1,,,,,1 / 1,,,,,1 / 1,,,,,1 / 1,,,,,0 / 1,,,,,0 / 1,,,,11,8,14,3,3,11,8,14,3,3,0.7,0.4,0.5,0.3,0.2,1.3,1.3,1.6,1.3,2.0,10 / 14,6 / 10,43.5,0 / 4,3 / 6,9 / 11,6 / 8,9 / 14,0 / 3,2 / 3,9 / 11,6 / 8,8 / 14,0 / 3,1 / 3,8 / 11,6 / 8,7 / 14,0 / 3,0 / 3,1 / 11,0 / 8,1 / 14,0 / 3,1 / 3,7 / 11,5 / 8,7 / 14,0 / 3,0 / 3,16,18,28,10,14,13,15,24,7,11,3,0,4,0,3,0,4,0,2.0,,1.3,,2 / 6,,3 / 5,,2 / 3,,3 / 4,,2 / 3,,2 / 4,,2 / 3,,2 / 4,,0 / 3,,0 / 4,,2 / 3,,2 / 4,,,Innovative Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,CA
54,THE FERTILITY AND GYNECOLOGY CENTER,MONTEREY BAY IVF,MONTEREY,CALIFORNIA,107,1,"Edward J. Ramirez, MD",100%,0%,0%,87%,1%,21%,35%,20%,1%,0%,29%,28%,8%,20%,20%,18,11,10,8,2,0 / 18,0 / 11,2 / 10,1 / 8,0 / 2,18,9,6,3,1,1.7,2.1,3.7,3.3,3.0,1 / 14,2 / 9,0 / 5,0 / 2,0 / 1,7 / 18,4 / 11,2 / 10,0 / 8,0 / 2,5 / 18,3 / 11,2 / 10,0 / 8,0 / 2,3 / 18,3 / 11,1 / 10,0 / 8,0 / 2,2 / 18,0 / 11,1 / 10,0 / 8,0 / 2,3 / 18,2 / 11,1 / 10,0 / 8,0 / 2,33.3,4 / 19,13.6,0 / 10,0 / 3,7 / 18,4 / 9,2 / 6,0 / 3,0 / 1,5 / 18,3 / 9,2 / 6,0 / 3,0 / 1,3 / 18,3 / 9,1 / 6,0 / 3,0 / 1,2 / 18,0 / 9,1 / 6,0 / 3,0 / 1,3 / 18,2 / 9,1 / 6,0 / 3,0 / 1,9,11,4,3,1,9,11,4,3,1,0.9,1.0,0.6,1.5,1.0,1.7,1.6,1.0,1.7,2.0,7 / 15,6 / 18,2 / 4,0 / 4,0 / 2,6 / 9,5 / 11,2 / 4,1 / 3,0 / 1,6 / 9,4 / 11,2 / 4,0 / 3,0 / 1,5 / 9,3 / 11,2 / 4,0 / 3,0 / 1,1 / 9,1 / 11,0 / 4,0 / 3,0 / 1,3 / 9,3 / 11,2 / 4,0 / 3,0 / 1,5,6,5,2,0,1,2,0,0,0,10,0,1,0,9,0,1,0,1.8,,2.0,,6 / 15,,0 / 2,,6 / 9,,0 / 1,,5 / 9,,0 / 1,,4 / 9,,0 / 1,,1 / 9,,0 / 1,,4 / 9,,0 / 1,,,"The Fertility and Gynecology Center, Monterey Bay IVF",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CA
55,NOVA IN VITRO FERTILIZATION,,MOUNTAIN VIEW,CALIFORNIA,702,0,"Richard J. Schmidt, MD",100%,0%,2%,24%,39%,13%,20%,51%,18%,6%,17%,13%,4%,27%,12%,26,17,20,7,6,3.8,0 / 17,10.0,0 / 7,0 / 6,2,1,2,0,2,2.0,1.0,2.5,,4.0,0 / 2,,0 / 2,,0 / 2,7.7,0 / 17,10.0,0 / 7,1 / 6,7.7,0 / 17,10.0,0 / 7,1 / 6,7.7,0 / 17,10.0,0 / 7,1 / 6,0.0,0 / 17,0.0,0 / 7,0 / 6,0.0,0 / 17,5.0,0 / 7,1 / 6,2 / 4,0 / 1,2 / 5,,1 / 8,2 / 2,0 / 1,2 / 2,,1 / 2,2 / 2,0 / 1,2 / 2,,1 / 2,2 / 2,0 / 1,2 / 2,,1 / 2,0 / 2,0 / 1,0 / 2,,0 / 2,0 / 2,0 / 1,1 / 2,,1 / 2,73,74,53,27,16,73,74,53,27,16,0.8,0.7,0.5,0.6,0.3,1.6,1.4,1.9,2.9,4.4,45.6,57.4,35.7,18.8,3.1,60.3,71.6,56.6,59.3,4 / 16,53.4,63.5,49.1,33.3,1 / 16,43.8,56.8,39.6,33.3,1 / 16,9.6,6.8,9.4,0.0,0 / 16,39.7,51.4,34.0,22.2,1 / 16,73,98,91,42,45,44,55,57,28,27,7,0,27,0,7,0,27,0,1.6,,1.6,,2 / 11,,41.9,,2 / 7,,66.7,,1 / 7,,55.6,,1 / 7,,55.6,,0 / 7,,0.0,,1 / 7,,48.1,,,Nova In Vitro Fertilization,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
56,CCRM OC FERTILITY-FASHION ISLAND,,NEWPORT BEACH,CALIFORNIA,219,0,"Sharon E. Moayeri, MD",100%,0%,2%,62%,80%,4%,1%,0%,1%,6%,34%,24%,40%,3%,8%,5,1,1,0,0,0 / 5,0 / 1,0 / 1,,,1,0,0,0,0,1.0,,,,,1 / 1,,,,,1 / 5,0 / 1,0 / 1,,,1 / 5,0 / 1,0 / 1,,,1 / 5,0 / 1,0 / 1,,,0 / 5,0 / 1,0 / 1,,,1 / 5,0 / 1,0 / 1,,,1 / 1,,,,,1 / 1,,,,,1 / 1,,,,,1 / 1,,,,,0 / 1,,,,,1 / 1,,,,,41,15,20,5,3,41,15,20,5,3,1.1,0.5,0.7,0.4,0.2,1.2,1.1,1.2,1.2,1.3,63.3,13 / 17,72.7,5 / 6,3 / 4,65.9,11 / 15,80.0,4 / 5,3 / 3,53.7,11 / 15,75.0,3 / 5,2 / 3,43.9,10 / 15,70.0,2 / 5,2 / 3,9.8,1 / 15,5.0,1 / 5,0 / 3,31.7,8 / 15,45.0,1 / 5,0 / 3,31,28,30,14,17,8,14,18,9,10,1,0,7,0,0,0,7,0,,,1.0,,,,7 / 7,,,,7 / 7,,,,6 / 7,,,,6 / 7,,,,0 / 7,,,,2 / 7,,,CCRM OC Fertility-Fashion Island,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
57,HRC FERTILITY-ORANGE COUNTY,,NEWPORT BEACH,CALIFORNIA,"1,058",3,"Daniel A. Potter, MD",100%,0%,7%,82%,73%,7%,12%,31%,3%,9%,42%,43%,2%,14%,26%,215,105,110,42,40,1.4,1.0,10.0,9.5,17.5,130,58,58,16,6,1.3,1.2,1.3,1.4,1.3,67.0,69.8,56.8,2 / 8,0 / 2,41.4,40.0,34.5,19.0,5.0,37.7,35.2,30.0,19.0,2.5,32.6,25.7,27.3,19.0,2.5,5.1,8.6,2.7,0.0,0.0,23.3,19.0,22.7,16.7,2.5,62.1,73.5,55.1,34.8,2 / 8,68.5,72.4,65.5,8 / 16,2 / 6,62.3,63.8,56.9,8 / 16,1 / 6,53.8,46.6,51.7,8 / 16,1 / 6,8.5,15.5,5.2,0 / 16,0 / 6,38.5,34.5,43.1,7 / 16,1 / 6,117,66,37,18,29,112,65,36,15,23,1.1,1.0,0.8,0.4,1.2,1.3,1.3,1.2,1.3,1.4,67.1,64.6,54.8,10 / 19,48.1,78.6,70.8,63.9,9 / 15,69.6,69.6,61.5,55.6,7 / 15,47.8,59.8,47.7,50.0,5 / 15,47.8,8.9,13.8,5.6,2 / 15,0.0,45.5,41.5,44.4,4 / 15,30.4,49,38,31,23,17,7,7,7,0,0,68,3,34,13,46,3,34,13,1.4,2.3,1.2,1.2,71.0,2 / 5,66.7,13 / 15,84.8,3 / 3,73.5,11 / 13,73.9,2 / 3,61.8,11 / 13,58.7,2 / 3,52.9,9 / 13,15.2,0 / 3,8.8,2 / 13,45.7,2 / 3,41.2,6 / 13,,HRC Fertility-Orange County,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
58,NEWPORT FERTILITY CENTER,,NEWPORT BEACH,CALIFORNIA,241,0,"Mark T. Kan, MD",100%,0%,3%,18%,24%,6%,11%,49%,11%,18%,24%,58%,3%,43%,16%,38,38,35,19,16,0.0,0.0,0.0,0 / 19,0 / 16,19,13,13,7,5,1.5,1.3,1.5,1.6,1.6,4 / 12,1 / 5,1 / 7,0 / 4,0 / 2,34.2,21.1,25.7,3 / 19,2 / 16,18.4,18.4,20.0,2 / 19,2 / 16,18.4,15.8,17.1,2 / 19,2 / 16,0.0,2.6,2.9,0 / 19,0 / 16,18.4,15.8,14.3,2 / 19,2 / 16,47.8,9 / 17,9 / 17,3 / 11,2 / 8,13 / 19,8 / 13,9 / 13,3 / 7,2 / 5,7 / 19,7 / 13,7 / 13,2 / 7,2 / 5,7 / 19,6 / 13,6 / 13,2 / 7,2 / 5,0 / 19,1 / 13,1 / 13,0 / 7,0 / 5,7 / 19,6 / 13,5 / 13,2 / 7,2 / 5,11,14,8,0,0,11,14,8,0,0,1.2,0.8,0.7,0.0,0.0,1.5,1.5,1.3,,,15 / 17,75.0,6 / 8,,,10 / 11,12 / 14,7 / 8,,,9 / 11,10 / 14,6 / 8,,,4 / 11,7 / 14,6 / 8,,,5 / 11,3 / 14,0 / 8,,,4 / 11,7 / 14,6 / 8,,,5,14,9,11,8,5,13,9,7,5,4,0,11,0,4,0,11,0,1.3,,1.1,,3 / 5,,6 / 10,,3 / 4,,7 / 11,,3 / 4,,5 / 11,,3 / 4,,5 / 11,,0 / 4,,0 / 11,,3 / 4,,5 / 11,,This clinic has reorganized since 2016. Contact the NASS Help Desk for further information.,CCRM OC Fertility-Jamboree,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
59,SOUTHERN CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,,NEWPORT BEACH,CALIFORNIA,773,5,"Robert E. Anderson, MD",100%,0%,6%,73%,80%,11%,9%,38%,5%,6%,30%,66%,4%,34%,21%,7,6,11,12,10,1 / 7,2 / 6,7 / 11,3 / 12,8 / 10,0,0,0,0,0,,,,,,,,,,,0 / 7,0 / 6,0 / 11,0 / 12,0 / 10,0 / 7,0 / 6,0 / 11,0 / 12,0 / 10,0 / 7,0 / 6,0 / 11,0 / 12,0 / 10,0 / 7,0 / 6,0 / 11,0 / 12,0 / 10,0 / 7,0 / 6,0 / 11,0 / 12,0 / 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,92,74,24,17,115,88,67,24,17,1.4,1.0,0.8,0.6,0.5,1.0,1.0,1.0,1.0,1.1,72.1,66.7,75.0,68.2,7 / 16,72.2,68.2,74.6,66.7,9 / 17,67.8,61.4,65.7,58.3,7 / 17,67.0,61.4,62.7,54.2,7 / 17,0.9,0.0,3.0,4.2,0 / 17,60.0,54.5,50.7,54.2,7 / 17,84,85,82,41,35,8,11,3,1,1,2,0,56,6,0,0,47,4,,,1.0,1.3,,,54.3,4 / 5,,,55.3,3 / 4,,,48.9,3 / 4,,,48.9,2 / 4,,,0.0,1 / 4,,,38.3,1 / 4,,Southern California Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
60,LANE FERTILITY INSTITUTE,,NOVATO,CALIFORNIA,134,0,"Danielle E. Lane, MD",100%,0%,0%,20%,57%,4%,7%,37%,4%,0%,15%,28%,26%,15%,7%,0,0,1,1,1,,,0 / 1,0 / 1,1 / 1,0,0,0,0,0,,,,,,,,,,,,,0 / 1,0 / 1,0 / 1,,,0 / 1,0 / 1,0 / 1,,,0 / 1,0 / 1,0 / 1,,,0 / 1,0 / 1,0 / 1,,,0 / 1,0 / 1,0 / 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7,11,3,2,13,7,10,1,2,0.4,0.7,0.4,0.1,0.3,1.4,1.6,1.6,1.0,2.0,12 / 18,5 / 11,7 / 16,0 / 1,1 / 4,11 / 13,4 / 7,6 / 10,0 / 1,1 / 2,8 / 13,4 / 7,4 / 10,0 / 1,1 / 2,8 / 13,3 / 7,3 / 10,0 / 1,1 / 2,0 / 13,1 / 7,1 / 10,0 / 1,0 / 2,7 / 13,1 / 7,3 / 10,0 / 1,1 / 2,31,10,28,11,8,29,10,28,11,7,1,0,5,0,1,0,5,0,1.0,,1.2,,1 / 1,,2 / 6,,1 / 1,,2 / 5,,1 / 1,,2 / 5,,1 / 1,,2 / 5,,0 / 1,,0 / 5,,1 / 1,,2 / 5,,,Lane Fertility Institute,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pending,0,CA
61,AMERICAN REPRODUCTIVE CENTERS,,PALM SPRINGS,CALIFORNIA,219,2,"Maher A. Abdallah, MD",100%,3%,1%,95%,40%,18%,8%,43%,7%,9%,32%,14%,4%,16%,16%,64,28,35,11,3,0.0,0.0,0.0,0 / 11,0 / 3,50,24,25,7,0,1.9,1.8,1.8,2.1,,2.3,0 / 17,0 / 17,0 / 5,,35.9,46.4,14.3,2 / 11,0 / 3,31.3,42.9,14.3,2 / 11,0 / 3,18.8,32.1,14.3,2 / 11,0 / 3,12.5,10.7,0.0,0 / 11,0 / 3,18.8,25.0,11.4,1 / 11,0 / 3,35.5,38.6,10.9,2 / 15,,46.0,54.2,20.0,2 / 7,,40.0,50.0,20.0,2 / 7,,24.0,37.5,20.0,2 / 7,,16.0,12.5,0.0,0 / 7,,24.0,29.2,16.0,1 / 7,,21,9,3,1,1,20,9,3,0,1,1.6,0.8,0.6,0.0,0.3,1.9,1.8,1.7,,2.0,48.6,5 / 16,0 / 5,,0 / 2,60.0,5 / 9,0 / 3,,0 / 1,60.0,5 / 9,0 / 3,,0 / 1,40.0,5 / 9,0 / 3,,0 / 1,20.0,0 / 9,0 / 3,,0 / 1,35.0,4 / 9,0 / 3,,0 / 1,8,12,4,2,4,0,0,0,0,1,5,0,4,2,4,0,4,1,1.8,,2.0,3.0,4 / 7,,2 / 8,0 / 3,3 / 4,,2 / 4,0 / 1,3 / 4,,1 / 4,0 / 1,3 / 4,,1 / 4,0 / 1,0 / 4,,0 / 4,0 / 1,1 / 4,,1 / 4,0 / 1,,American Reproductive Centers,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CA
62,BAY IVF CENTER,,PALO ALTO,CALIFORNIA,201,0,"Francis Polansky, MD",100%,0%,0%,62%,8%,22%,22%,52%,1%,7%,44%,6%,5%,11%,37%,38,21,30,9,1,10.5,0.0,13.3,0 / 9,0 / 1,17,9,10,4,0,1.6,1.6,1.6,1.3,,5 / 14,4 / 9,5 / 10,3 / 4,,26.3,19.0,13.3,0 / 9,0 / 1,26.3,19.0,6.7,0 / 9,0 / 1,23.7,14.3,6.7,0 / 9,0 / 1,2.6,4.8,0.0,0 / 9,0 / 1,18.4,9.5,3.3,0 / 9,0 / 1,39.3,5 / 14,4 / 16,0 / 5,,10 / 17,4 / 9,4 / 10,0 / 4,,10 / 17,4 / 9,2 / 10,0 / 4,,9 / 17,3 / 9,2 / 10,0 / 4,,1 / 17,1 / 9,0 / 10,0 / 4,,7 / 17,2 / 9,1 / 10,0 / 4,,27,23,22,7,3,27,23,22,7,3,1.2,2.1,1.2,1.8,3.0,1.4,1.6,1.7,1.9,1.7,57.6,42.4,33.3,1 / 13,1 / 5,70.4,60.9,50.0,1 / 7,1 / 3,51.9,43.5,40.9,0 / 7,0 / 3,40.7,30.4,31.8,0 / 7,0 / 3,11.1,13.0,9.1,0 / 7,0 / 3,33.3,30.4,13.6,0 / 7,0 / 3,8,2,5,1,0,0,0,2,1,0,1,1,2,0,1,1,2,0,1.0,2.0,1.0,,0 / 1,,2 / 2,,0 / 1,1 / 1,2 / 2,,0 / 1,0 / 1,2 / 2,,0 / 1,0 / 1,2 / 2,,0 / 1,0 / 1,0 / 2,,0 / 1,0 / 1,2 / 2,,,Bay IVF Center,Yes,No,Yes,No,Yes,No,Yes,Yes,0,CA
63,STANFORD MEDICINE FERTILITY & REPRODUCTIVE HEALTH,,PALO ALTO,CALIFORNIA,"1,339",9,"Valerie L. Baker, MD",100%,<1%,2%,53%,44%,4%,8%,32%,6%,<1%,66%,22%,12%,4%,41%,112,98,114,75,65,5.4,3.1,10.5,20.0,32.3,41,36,31,17,7,1.3,1.4,1.7,2.4,3.3,62.1,46.4,4 / 19,0 / 14,0 / 6,13.4,11.2,5.3,4.0,0.0,12.5,10.2,3.5,1.3,0.0,12.5,9.2,3.5,1.3,0.0,0.0,1.0,0.0,0.0,0.0,9.8,8.2,3.5,1.3,0.0,27.5,25.5,9.6,5.4,0.0,36.6,30.6,19.4,3 / 17,0 / 7,34.1,27.8,12.9,1 / 17,0 / 7,34.1,25.0,12.9,1 / 17,0 / 7,0.0,2.8,0.0,0 / 17,0 / 7,26.8,22.2,12.9,1 / 17,0 / 7,149,110,87,30,35,125,93,72,24,26,0.7,0.6,0.5,0.5,0.9,1.1,1.0,1.2,1.3,1.5,53.5,48.9,39.0,40.0,21.9,57.6,48.4,44.4,45.8,42.3,48.0,45.2,33.3,45.8,19.2,46.4,41.9,29.2,41.7,19.2,1.6,3.2,4.2,4.2,0.0,41.6,36.6,27.8,33.3,15.4,120,114,104,47,23,72,81,64,22,9,18,1,19,9,13,1,17,8,1.3,1.0,1.2,1.0,10 / 17,1 / 1,30.0,5 / 8,7 / 13,1 / 1,7 / 17,5 / 8,7 / 13,1 / 1,6 / 17,5 / 8,4 / 13,1 / 1,6 / 17,5 / 8,3 / 13,0 / 1,0 / 17,0 / 8,3 / 13,1 / 1,5 / 17,4 / 8,,Stanford Medicine Fertility & Reproductive Health,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
64,HRC FERTILITY-PASADENA,,PASADENA,CALIFORNIA,"3,327",11,"John G. Wilcox, MD",100%,0%,20%,68%,33%,3%,3%,39%,2%,5%,14%,34%,13%,7%,5%,193,121,106,47,109,5.7,8.3,14.2,25.5,39.4,88,64,39,17,9,1.8,1.7,1.8,1.8,2.3,20.0,26.8,16.7,3 / 13,0 / 7,24.4,29.8,12.3,8.5,0.9,21.8,25.6,10.4,6.4,0.0,17.1,17.4,9.4,6.4,0.0,4.7,8.3,0.9,0.0,0.0,15.0,16.5,7.5,4.3,0.0,37.2,44.1,20.9,11.1,0 / 17,53.4,56.3,33.3,4 / 17,1 / 9,47.7,48.4,28.2,3 / 17,0 / 9,37.5,32.8,25.6,3 / 17,0 / 9,10.2,15.6,2.6,0 / 17,0 / 9,33.0,31.3,20.5,2 / 17,0 / 9,337,209,131,64,87,294,182,110,45,46,0.7,0.6,0.4,0.3,0.1,1.5,1.5,1.4,1.2,1.7,46.3,46.3,37.0,52.0,23.9,61.2,63.2,47.3,64.4,41.3,51.4,55.5,40.0,53.3,32.6,42.9,50.0,31.8,51.1,28.3,8.2,5.5,8.2,2.2,4.3,32.7,40.1,30.0,40.0,17.4,355,263,261,167,324,33,31,20,11,4,159,2,361,20,49,2,348,20,1.8,1.5,1.4,1.4,63.8,0 / 1,42.7,39.3,81.6,1 / 2,54.6,40.0,75.5,0 / 2,44.8,40.0,49.0,0 / 2,37.1,25.0,26.5,0 / 2,7.8,15.0,40.8,0 / 2,25.6,20.0,,HRC Fertility-Pasadena,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
