OrderID,CurrClinNameAll,ClinCityCode,state_code,MedicalDirector,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,state_code,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,DonorEgg,DonorEmbryo,EmbryoCryo,EggCryo,SingleWomen,Surrogates,SART_Member,ClinStateCode,state_code
14,Bloom Reproductive Institute,SCOTTSDALE,AZ,"Millie A. Behera, MD",6 / 15,7 / 11,4 / 9,0 / 1,1 / 6,4 / 15,5 / 11,2 / 9,0 / 1,0 / 6,54.2,65.9,36.4,4 / 9,0 / 1,28.9,26.8,22.7,1 / 9,0 / 1,AZ,15,11,9,1,6,,83,41,22,9,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ARIZONA,AZ
15,"Boston IVF, The Arizona Center",SCOTTSDALE,AZ,"Alan Penzias, MD",2 / 9,1 / 1,2 / 3,,0 / 2,1 / 9,0 / 1,2 / 3,,0 / 2,48.9,52.2,2 / 5,1 / 4,,40.4,47.8,2 / 5,1 / 4,,AZ,9,1,3,0,2,,47,23,5,4,0,Yes,Yes,Yes,Yes,Yes,No,Yes,ARIZONA,AZ
16,IVF Phoenix,SCOTTSDALE,AZ,"John L. Couvaras, MD",1 / 9,1 / 7,1 / 3,,0 / 1,0 / 9,1 / 7,1 / 3,,0 / 1,25,3 / 12,1 / 6,1 / 3,,25,0 / 12,0 / 6,0 / 3,,AZ,9,7,3,0,1,,20,12,6,3,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ARIZONA,AZ
17,"Fertility Treatment Center, PC",TEMPE,AZ,"H. Randall Craig, MD",0 / 3,1 / 1,1 / 2,,0 / 1,0 / 3,0 / 1,0 / 2,,0 / 1,59.1,48,34.1,5 / 17,1 / 9,31.8,28,24.4,4 / 17,1 / 9,AZ,3,1,2,0,1,,88,50,41,17,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ARIZONA,AZ
18,Arizona Center for Reproductive Endocrinology and Infertility,TUCSON,AZ,"Timothy J. Gelety, MD",51.8,25,10,1 / 7,1 / 7,35.7,16.7,5,1 / 7,1 / 7,33.9,32,5 / 10,0 / 1,0 / 3,26.8,20,5 / 10,0 / 1,0 / 3,AZ,56,24,20,7,7,,56,25,10,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ARIZONA,AZ
19,Reproductive Health Center,TUCSON,AZ,"Scot M. Hutchison, MD",1 / 3,3 / 5,,,,1 / 3,1 / 5,,,,37.9,1 / 17,3 / 14,1 / 3,1 / 1,34.5,1 / 17,2 / 14,1 / 3,1 / 1,AZ,3,5,0,0,0,,58,17,14,3,1,Yes,No,Yes,Yes,Yes,Yes,No,ARIZONA,AZ
20,Arizona Reproductive Institute,TUCSON,AZ,"Christine W. Mansfield, MD",34.3,25,0 / 4,0 / 2,0 / 2,25.7,14.3,0 / 4,0 / 2,0 / 2,53.7,38.5,3 / 15,1 / 5,1 / 2,31.3,15.4,1 / 15,1 / 5,1 / 2,AZ,35,28,4,2,2,,67,26,15,5,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ARIZONA,AZ
21,Arkansas Fertility Center,LITTLE ROCK,AR,"Dean M. Moutos, MD",49.4,30.6,5 / 11,0 / 3,0 / 1,34.2,13.9,3 / 11,0 / 3,0 / 1,20.4,27.3,1 / 8,2 / 3,,14.8,18.2,1 / 8,2 / 3,,AR,79,36,11,3,1,,54,22,8,3,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ARKANSAS,AR
22,LifeStart Fertility Center,AGOURA HILLS,CA,"Anita P. Singh, MD",1 / 1,,1 / 1,,0 / 2,0 / 1,,1 / 1,,0 / 2,2 / 3,2 / 2,,,,2 / 3,1 / 2,,,,CA,1,0,1,0,2,,3,2,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
23,Alta Bates In Vitro Fertilization Program,BERKELEY,CA,"Ryszard J. Chetkowski, MD",,,0 / 3,,,,,0 / 3,,,5 / 9,3 / 6,1 / 1,,2 / 2,5 / 9,3 / 6,1 / 1,,2 / 2,CA,0,0,3,0,0,,9,6,1,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
24,"Center for Reproductive Health & Gynecology, (CRH&G)",BEVERLY HILLS,CA,"Sam Najmabadi, MD",3 / 5,3 / 5,4 / 6,1 / 3,1 / 3,1 / 5,2 / 5,2 / 6,0 / 3,1 / 3,3 / 5,3 / 6,2 / 2,,,2 / 5,2 / 6,1 / 2,,,CA,5,5,6,3,3,,5,6,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
25,Southern California Reproductive Center,BEVERLY HILLS,CA,"Mark W. Surrey, MD",3 / 8,0 / 2,0 / 2,1 / 1,0 / 1,2 / 8,0 / 2,0 / 2,1 / 1,0 / 1,55.7,57.6,47.1,58.6,37.5,38.3,47.5,41.2,51.7,25,CA,8,2,2,1,1,,149,59,68,29,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
26,Fertility Care of Orange County,BREA,CA,"Changnin T. Lee, MD",,,,,,,,,,,51.5,15 / 19,7 / 15,5 / 12,3 / 8,39.4,9 / 19,3 / 15,2 / 12,3 / 8,CA,0,0,0,0,0,,33,19,15,12,8,Yes,Yes,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
27,"Central California IVF Program, Women's Specialty and Fertility Center",CLOVIS,CA,"H. Michael Synn, MD",42.2,32.4,19,0 / 6,0 / 4,28.1,23.5,14.3,0 / 6,0 / 4,35.6,28.6,5 / 17,0 / 3,0 / 1,24.4,23.8,5 / 17,0 / 3,0 / 1,CA,64,34,21,6,4,,45,21,17,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
28,California IVF Fertility Center,DAVIS,CA,"Ernest J. Zeringue, MD",5 / 15,0 / 5,0 / 6,2 / 5,0 / 3,3 / 15,0 / 5,0 / 6,0 / 5,0 / 3,45.1,54.2,48.6,4 / 9,0 / 5,20.9,37.3,32.4,3 / 9,0 / 5,CA,15,5,6,5,3,,91,59,37,9,5,Yes,Yes,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
29,California Center for Reproductive Medicine,ENCINITAS,CA,"Lori L. Arnold, MD",0 / 1,,1 / 1,,,0 / 1,,1 / 1,,,8 / 17,5 / 7,3 / 6,,0 / 1,5 / 17,4 / 7,0 / 6,,0 / 1,CA,1,0,1,0,0,,17,7,6,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
30,"The Fertility Institutes-Los Angeles, New York, Guadalajara",ENCINO,CA,"Jeffrey Steinberg, MD",20,31,8 / 16,1 / 1,1 / 2,10,17.2,5 / 16,0 / 1,0 / 2,0 / 15,2 / 4,1 / 11,2 / 3,0 / 1,0 / 15,2 / 4,1 / 11,2 / 3,0 / 1,CA,30,29,16,1,2,,15,4,11,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
31,HRC Fertility-Encino,ENCINO,CA,"Michael A. Feinman, MD",60.9,43.2,47.1,15,1 / 10,43.8,27,29.4,15,1 / 10,70.2,57.1,60.6,25,9 / 18,42.9,40.3,40.9,21.4,8 / 18,CA,64,37,34,20,10,,84,77,66,28,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
32,Los Angeles Reproductive Center (LARC),ENCINO,CA,"Nurit Winkler, MD",,0 / 1,,,,,0 / 1,,,,9 / 14,4 / 7,3 / 12,1 / 3,2 / 4,4 / 14,3 / 7,2 / 12,1 / 3,0 / 4,CA,0,1,0,0,0,,14,7,12,3,4,Yes,No,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
33,Western Fertility Institute,ENCINO,CA,"Ashim V. Kumar, MD",1 / 1,0 / 1,,,,1 / 1,0 / 1,,,,73.7,68,10 / 16,5 / 11,4 / 5,44.7,44,7 / 16,3 / 11,2 / 5,CA,1,1,0,0,0,,38,25,16,11,5,Yes,Yes,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
34,Zouves Fertility Center,FOSTER CITY,CA,"Christo G. Zouves, MD",,,,,,,,,,,36.7,40.8,52.8,25,6 / 14,30,35.2,49.1,20,6 / 14,CA,0,0,0,0,0,,90,71,53,20,14,No,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
35,West Coast Fertility Center,FOUNTAIN VALLEY,CA,"David G. Diaz, MD",1 / 3,2 / 3,1 / 3,1 / 2,,1 / 3,0 / 3,0 / 3,1 / 2,,37.9,3 / 7,2 / 10,0 / 3,0 / 3,31,2 / 7,2 / 10,0 / 3,0 / 3,CA,3,3,3,2,0,,29,7,10,3,3,Yes,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
36,"Xpert Fertility Care of California, Minh N. Ho, MD, FACOG",FOUNTAIN VALLEY,CA,"Minh N. Ho, MD",4 / 7,0 / 2,2 / 4,1 / 3,0 / 4,4 / 7,0 / 2,2 / 4,1 / 3,0 / 4,0 / 2,0 / 1,0 / 1,0 / 1,,0 / 2,0 / 1,0 / 1,0 / 1,,CA,7,2,4,3,4,,2,1,1,1,0,Yes,No,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
37,Kaiser Permanente Center for Reproductive Health,FREMONT,CA,"Lisa Farah-Eways, MD",57.7,38.7,39.6,30.4,27.6,47.3,30.7,31.3,19.6,13.8,63.6,54.7,53.2,52.2,4 / 13,51.7,41.5,44.2,43.5,4 / 13,CA,220,163,96,46,29,,118,106,77,23,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
38,CARE Fertility,GLENDALE,CA,"Rudy Quintero, MD",4 / 9,4 / 8,1 / 6,0 / 4,0 / 5,3 / 9,2 / 8,1 / 6,0 / 4,0 / 5,52.5,38.9,50,5 / 10,2 / 11,33.9,27.8,39.3,4 / 10,1 / 11,CA,9,8,6,4,5,,59,36,28,10,11,Yes,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
39,Marin Fertility Center,GREENBRAE,CA,"Peter S. Uzelac, MD",1 / 6,1 / 3,1 / 3,0 / 1,0 / 2,1 / 6,1 / 3,1 / 3,0 / 1,0 / 2,50,46.9,8 / 15,6 / 13,0 / 3,31.8,21.9,8 / 15,6 / 13,0 / 3,CA,6,3,3,1,2,,44,32,15,13,3,Yes,No,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
40,"Coastal Fertility Medical Center, Inc.",IRVINE,CA,"Lawrence B. Werlin, MD",1 / 4,2 / 3,,0 / 1,,1 / 4,1 / 3,,0 / 1,,21.3,38.5,6 / 19,0 / 5,1 / 2,19.1,19.2,5 / 19,0 / 5,1 / 2,CA,4,3,0,1,0,,47,26,19,5,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
41,Fertility Center of Southern California,IRVINE,CA,"Ilene E. Hatch, MD",1 / 1,2 / 3,0 / 1,0 / 1,1 / 1,1 / 1,1 / 3,0 / 1,0 / 1,1 / 1,65.4,68,12 / 18,9 / 17,2 / 5,53.8,56,10 / 18,6 / 17,2 / 5,CA,1,3,1,1,1,,26,25,18,17,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
42,Life IVF Center,IRVINE,CA,"Frank D. Yelian, MD, PhD",1 / 4,1 / 5,0 / 5,0 / 2,0 / 4,0 / 4,1 / 5,0 / 5,0 / 2,0 / 4,62.5,56.7,48.9,42.9,21.2,53.8,46.2,40,33.3,15.2,CA,4,5,5,2,4,,104,104,135,63,99,Yes,Yes,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
43,"Reproductive Fertility Center, LinFertility Family Foundation",IRVINE,CA,"James P. Lin, MD",8 / 14,2 / 8,1 / 7,1 / 2,0 / 1,4 / 14,1 / 8,0 / 7,1 / 2,0 / 1,54.8,50.6,51.2,5 / 15,5 / 14,28.6,37.7,36.6,5 / 15,3 / 14,CA,14,8,7,2,1,,126,77,41,15,14,Yes,Yes,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
44,Reproductive Partners Fertility Center-San Diego,LA JOLLA,CA,"V. Gabriel Garzo, MD",,1 / 1,,,,,0 / 1,,,,63.3,50.6,48.1,34.2,8 / 18,58.3,41.4,42,34.2,6 / 18,CA,0,1,0,0,0,,120,87,81,38,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
45,Loma Linda University Center for Fertility and IVF,LOMA LINDA,CA,"John D. Jacobson, MD",52.1,41.9,1 / 14,1 / 6,0 / 1,33.3,35.5,0 / 14,1 / 6,0 / 1,42.1,50,10,1 / 4,0 / 3,34.2,40,10,1 / 4,0 / 3,CA,48,31,14,6,1,,38,20,20,4,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
46,California Fertility Partners,LOS ANGELES,CA,"Richard P. Marrs, MD",46.2,18.2,3 / 10,1 / 8,4 / 10,26.9,9.1,2 / 10,1 / 8,3 / 10,58.1,44.3,40.6,58.8,52.6,35.5,34.4,31.9,50,43.9,CA,26,22,10,8,10,,62,61,69,34,57,No,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
47,"Cedars Sinai Medical Center, Center for Fertility and Reproductive Medicine",LOS ANGELES,CA,"Margareta D. Pisarska, MD",1 / 3,2 / 3,1 / 3,1 / 5,0 / 1,1 / 3,2 / 3,0 / 3,1 / 5,0 / 1,6 / 12,1 / 2,5 / 8,1 / 1,0 / 2,5 / 12,1 / 2,5 / 8,1 / 1,0 / 2,CA,3,3,3,5,1,,12,2,8,1,2,Yes,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
48,CHA Fertility Center,LOS ANGELES,CA,"Joshua J. Berger, MD, PhD",3 / 3,0 / 4,0 / 2,0 / 1,0 / 2,0 / 3,0 / 4,0 / 2,0 / 1,0 / 2,54.5,12 / 19,8 / 14,3 / 5,2 / 3,34.1,10 / 19,8 / 14,1 / 5,2 / 3,CA,3,4,2,1,2,,44,19,14,5,3,Yes,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
49,CMD Fertility,LOS ANGELES,CA,"Catherine M. DeUgarte, MD",1 / 3,1 / 7,4 / 12,0 / 1,0 / 2,0 / 3,1 / 7,4 / 12,0 / 1,0 / 2,52.4,11 / 19,7 / 18,3 / 3,1 / 2,42.9,4 / 19,5 / 18,2 / 3,1 / 2,CA,3,7,12,1,2,,21,19,18,3,2,Yes,Yes,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
50,Pacific Fertility Center-Los Angeles,LOS ANGELES,CA,"Vicken Sahakian, MD",1 / 3,0 / 1,1 / 2,0 / 2,0 / 2,0 / 3,0 / 1,1 / 2,0 / 2,0 / 2,51,58.8,2 / 9,1 / 4,2 / 5,17.6,20.6,1 / 9,1 / 4,1 / 5,CA,3,1,2,2,2,,51,34,9,4,5,No,No,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
51,UCLA Fertility Center,LOS ANGELES,CA,"Kathleen M. Brennan, MD",,,1 / 3,0 / 2,1 / 4,,,1 / 3,0 / 2,1 / 4,56.3,6 / 16,6 / 9,3 / 6,1 / 5,47.9,4 / 16,6 / 9,2 / 6,1 / 5,CA,0,0,3,2,4,,48,16,9,6,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
52,USC Fertility,LOS ANGELES,CA,"Richard J. Paulson, MD",49,35.3,31.4,18.8,2.9,33.3,25,18.6,8.3,2.9,50,31,36,2 / 10,4 / 19,31.3,31,32,1 / 10,2 / 19,CA,51,68,70,48,35,,48,29,25,10,19,Yes,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
53,Innovative Fertility Center,MANHATTAN BEACH,CA,"Mark J. Rispler, MD",,1 / 1,,,,,0 / 1,,,,9 / 11,6 / 8,8 / 14,0 / 3,1 / 3,7 / 11,5 / 8,7 / 14,0 / 3,0 / 3,CA,0,1,0,0,0,,11,8,14,3,3,Yes,Yes,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
54,"The Fertility and Gynecology Center, Monterey Bay IVF",MONTEREY,CA,"Edward J. Ramirez, MD",5 / 18,3 / 9,2 / 6,0 / 3,0 / 1,3 / 18,2 / 9,1 / 6,0 / 3,0 / 1,6 / 9,4 / 11,2 / 4,0 / 3,0 / 1,3 / 9,3 / 11,2 / 4,0 / 3,0 / 1,CA,18,9,6,3,1,,9,11,4,3,1,Yes,Yes,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
55,Nova In Vitro Fertilization,MOUNTAIN VIEW,CA,"Richard J. Schmidt, MD",2 / 2,0 / 1,2 / 2,,1 / 2,0 / 2,0 / 1,1 / 2,,1 / 2,53.4,63.5,49.1,33.3,1 / 16,39.7,51.4,34,22.2,1 / 16,CA,2,1,2,0,2,,73,74,53,27,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
56,CCRM OC Fertility-Fashion Island,NEWPORT BEACH,CA,"Sharon E. Moayeri, MD",1 / 1,,,,,1 / 1,,,,,53.7,11 / 15,75,3 / 5,2 / 3,31.7,8 / 15,45,1 / 5,0 / 3,CA,1,0,0,0,0,,41,15,20,5,3,Yes,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
57,HRC Fertility-Orange County,NEWPORT BEACH,CA,"Daniel A. Potter, MD",62.3,63.8,56.9,8 / 16,1 / 6,38.5,34.5,43.1,7 / 16,1 / 6,69.6,61.5,55.6,7 / 15,47.8,45.5,41.5,44.4,4 / 15,30.4,CA,130,58,58,16,6,,112,65,36,15,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
58,CCRM OC Fertility-Jamboree,NEWPORT BEACH,CA,"Mark T. Kan, MD",7 / 19,7 / 13,7 / 13,2 / 7,2 / 5,7 / 19,6 / 13,5 / 13,2 / 7,2 / 5,9 / 11,10 / 14,6 / 8,,,4 / 11,7 / 14,6 / 8,,,CA,19,13,13,7,5,,11,14,8,0,0,Yes,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
59,Southern California Center for Reproductive Medicine,NEWPORT BEACH,CA,"Robert E. Anderson, MD",,,,,,,,,,,67.8,61.4,65.7,58.3,7 / 17,60,54.5,50.7,54.2,7 / 17,CA,0,0,0,0,0,,115,88,67,24,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
60,Lane Fertility Institute,NOVATO,CA,"Danielle E. Lane, MD",,,,,,,,,,,8 / 13,4 / 7,4 / 10,0 / 1,1 / 2,7 / 13,1 / 7,3 / 10,0 / 1,1 / 2,CA,0,0,0,0,0,,13,7,10,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
61,American Reproductive Centers,PALM SPRINGS,CA,"Maher A. Abdallah, MD",40,50,20,2 / 7,,24,29.2,16,1 / 7,,60,5 / 9,0 / 3,,0 / 1,35,4 / 9,0 / 3,,0 / 1,CA,50,24,25,7,0,,20,9,3,0,1,Yes,Yes,Yes,Yes,Yes,Yes,No,CALIFORNIA,CA
62,Bay IVF Center,PALO ALTO,CA,"Francis Polansky, MD",10 / 17,4 / 9,2 / 10,0 / 4,,7 / 17,2 / 9,1 / 10,0 / 4,,51.9,43.5,40.9,0 / 7,0 / 3,33.3,30.4,13.6,0 / 7,0 / 3,CA,17,9,10,4,0,,27,23,22,7,3,Yes,No,Yes,No,Yes,No,Yes,CALIFORNIA,CA
63,Stanford Medicine Fertility & Reproductive Health,PALO ALTO,CA,"Valerie L. Baker, MD",34.1,27.8,12.9,1 / 17,0 / 7,26.8,22.2,12.9,1 / 17,0 / 7,48,45.2,33.3,45.8,19.2,41.6,36.6,27.8,33.3,15.4,CA,41,36,31,17,7,,125,93,72,24,26,Yes,No,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
64,HRC Fertility-Pasadena,PASADENA,CA,"John G. Wilcox, MD",47.7,48.4,28.2,3 / 17,0 / 9,33,31.3,20.5,2 / 17,0 / 9,51.4,55.5,40,53.3,32.6,32.7,40.1,30,40,17.4,CA,88,64,39,17,9,,294,182,110,45,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
65,"Reproductive Partners-Beverly Hills, Redondo Beach & Westminster",REDONDO BEACH,CA,"Bill Yee, MD",50,30,13.8,22.2,2 / 16,34.6,23.3,6.9,14.8,2 / 16,55.1,55.6,39.8,38.9,21.9,42.3,42.1,33.1,29.6,21.9,CA,26,30,29,27,16,,196,171,133,54,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CALIFORNIA,CA
